expectation_name,system,code,ucum_code,low,high
Cancer Ag 125 [Units/volume] in Serum or Plasma between 1.0 and 628.0 umol/L,http://loinc.org,10334-1,umol/L,1.0,628.0
Kappa light chains [Mass/volume] in Serum or Plasma between 0.0 and 500.0 mg/dL,http://loinc.org,11050-2,mg/dL,0.0,500.0
Cholesterol in LDL/Cholesterol in HDL [Mass Ratio] in Serum or Plasma between 1.0 and 28.0 {ratio},http://loinc.org,11054-4,{ratio},1.0,28.0
Tacrolimus [Mass/volume] in Blood between 0.0 and 51.0 ng/mL,http://loinc.org,11253-2,ng/mL,0.0,51.0
Rheumatoid factor [Units/volume] in Serum or Plasma between 0.0 and 100.0 [iU]/mL,http://loinc.org,11572-5,[iU]/mL,0.0,100.0
Kappa light chains [Mass/volume] in Serum or Plasma between 0.0 and 150.0 mg/L,http://loinc.org,11050-2,mg/L,0.0,150.0
Cholesterol [Mass/volume] in Body fluid between 50.0 and 500.0 mg/dL,http://loinc.org,12183-0,mg/dL,50.0,500.0
aPTT in Control Blood by Coagulation assay between 18.0 and 60.0 '',http://loinc.org,12185-5,'',18.0,60.0
Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis between 1.0 and 326.0 ng/mL,http://loinc.org,12187-1,ng/mL,1.0,326.0
Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis between 0.0 and 100.0 %,http://loinc.org,12187-1,%,0.0,100.0
Creatinine [Mass/volume] in Body fluid between 10.0 and 30.0 mg/L,http://loinc.org,12190-5,mg/L,10.0,30.0
Creatinine [Mass/volume] in Body fluid between 0.1 and 5.0 mg/dL,http://loinc.org,12190-5,mg/dL,0.1,5.0
Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma between 10.0 and 45.0 %,http://loinc.org,12841-3,%,10.0,45.0
Iron/Transferrin [Mass Ratio] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,13452-8,%,0.0,100.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation between 35.0 and 596.0 nmol/L,http://loinc.org,13457-7,nmol/L,35.0,596.0
Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation between 6.0 and 100.0 ug/dL,http://loinc.org,13458-5,ug/dL,6.0,100.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation between 45.0 and 400.0 mg/dL,http://loinc.org,13457-7,mg/dL,45.0,400.0
Calcium.ionized [Moles/volume] in Serum or Plasma by calculation between 3.0 and 6.0 mg/dL,http://loinc.org,13959-2,mg/dL,3.0,6.0
Creatine kinase.MB [Mass/volume] in Serum or Plasma between 0.0 and 1000.0 ng/mL,http://loinc.org,13969-1,ng/mL,0.0,1000.0
Lactate [Mass/volume] in Serum or Plasma between 0.0 and 170.0 mg/dL,http://loinc.org,14118-4,mg/dL,0.0,170.0
Sex hormone binding globulin [Moles/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,13967-5,%,0.0,100.0
Lactate [Mass/volume] in Serum or Plasma between 0.0 and 100.0 mmol/L,http://loinc.org,14118-4,mmol/L,0.0,100.0
Reticulocytes [#/volume] in Blood between 0.0 and 1000.0 10*3/uL,http://loinc.org,14196-0,10*3/uL,0.0,1000.0
Reticulocytes [#/volume] in Blood between 0.0 and 100.0 %,http://loinc.org,14196-0,%,0.0,100.0
Bicarbonate [Moles/volume] in Venous blood between 18.0 and 47.0 10*-3.eq/L,http://loinc.org,14627-4,10*-3.eq/L,18.0,47.0
Bilirubin.total [Moles/volume] in Serum or Plasma between 0.01 and 11.0 mg/dL,http://loinc.org,14631-6,mg/dL,0.01,11.0
Cholesterol [Moles/volume] in Serum or Plasma between 1.0 and 15.0 mmol/L,http://loinc.org,14647-2,mmol/L,1.0,15.0
Creatinine [Moles/volume] in Serum or Plasma between 0.1 and 5.0 mg/dL,http://loinc.org,14682-9,mg/dL,0.1,5.0
Creatinine [Moles/volume] in Urine between 300.0 and 3000.0 mg/L,http://loinc.org,14683-7,mg/L,300.0,3000.0
Phosphate [Moles/volume] in Serum or Plasma between 2.0 and 17.0 mg/dL,http://loinc.org,14879-1,mg/dL,2.0,17.0
Urea nitrogen [Moles/volume] in Serum or Plasma between 5.0 and 100.0 mg/dL,http://loinc.org,14937-7,mg/dL,5.0,100.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 ug/mL,http://loinc.org,14957-5,ug/mL,0.0,1000.0
Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO between 1.0 and 250.0 mg/dL,http://loinc.org,1501-6,mg/dL,1.0,250.0
Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO between 1.0 and 250.0 mg/dL,http://loinc.org,1507-3,mg/dL,1.0,250.0
Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO between 1.0 and 200.0 mg/dL,http://loinc.org,1514-9,mg/dL,1.0,200.0
Bilirubin.conjugated [Mass/volume] in Serum or Plasma between 0.01 and 100.0 mg/dL,http://loinc.org,15152-2,mg/dL,0.01,100.0
Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO between 1.0 and 1100.0 mg/dL,http://loinc.org,1518-0,mg/dL,1.0,1100.0
Rheumatoid factor [Units/volume] in Serum by Nephelometry between 0.0 and 100.0 [iU]/mL,http://loinc.org,15205-8,[iU]/mL,0.0,100.0
Glucose [Mass/volume] in Serum or Plasma --2 hours post meal between 1.0 and 200.0 mg/dL,http://loinc.org,1521-4,mg/dL,1.0,200.0
Glucose [Mass/volume] in Serum or Plasma --3 hours post 100 g glucose PO between 1.0 and 200.0 mg/dL,http://loinc.org,1530-5,mg/dL,1.0,200.0
Bicarbonate [Moles/volume] in Venous blood between 18.0 and 47.0 mmol/L,http://loinc.org,14627-4,mmol/L,18.0,47.0
Cholesterol [Moles/volume] in Serum or Plasma between 50.0 and 500.0 mg/dL,http://loinc.org,14647-2,mg/dL,50.0,500.0
Creatinine [Moles/volume] in Serum or Plasma between 10.0 and 200.0 umol/L,http://loinc.org,14682-9,umol/L,10.0,200.0
Creatinine [Moles/volume] in Urine between 17.0 and 500.0 mg/dL,http://loinc.org,14683-7,mg/dL,17.0,500.0
Phosphate [Moles/volume] in Serum or Plasma between 1.0 and 26.0 mmol/L,http://loinc.org,14879-1,mmol/L,1.0,26.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 mg/dL,http://loinc.org,14957-5,mg/dL,0.0,1000.0
Microalbumin/Creatinine [Mass Ratio] in Urine between 0.001 and 100.0 ug/mg,http://loinc.org,14959-1,ug/mg,0.001,100.0
Rheumatoid factor [Units/volume] in Serum by Nephelometry between 0.0 and 1000.0 [iU]/L,http://loinc.org,15205-8,[iU]/L,0.0,1000.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 ug/mg,http://loinc.org,14957-5,ug/mg,0.0,1000.0
Microalbumin/Creatinine [Mass Ratio] in Urine between 0.001 and 100.0 mg/g,http://loinc.org,14959-1,mg/g,0.001,100.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 ug/dL,http://loinc.org,14957-5,ug/dL,0.0,1000.0
Microalbumin/Creatinine [Mass Ratio] in Urine between 0.0 and 100.0 %,http://loinc.org,14959-1,%,0.0,100.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 mg/L,http://loinc.org,14957-5,mg/L,0.0,1000.0
Microalbumin [Mass/volume] in Urine between 0.0 and 1000.0 mg/g,http://loinc.org,14957-5,mg/g,0.0,1000.0
Glucose [Mass/volume] in Serum or Plasma --12 hours fasting between 1.0 and 150.0 mg/dL,http://loinc.org,1554-5,mg/dL,1.0,150.0
Fasting glucose [Mass/volume] in Venous blood between 1.0 and 1000.0 mg/dL,http://loinc.org,1557-8,mg/dL,1.0,1000.0
Fasting glucose [Mass/volume] in Serum or Plasma between 50.0 and 200.0 pg/mL,http://loinc.org,1558-6,pg/mL,50.0,200.0
Fasting glucose [Mass/volume] in Serum or Plasma between 50.0 and 200.0 ng/mL,http://loinc.org,1558-6,ng/mL,50.0,200.0
Fasting glucose [Mass/volume] in Serum or Plasma between 50.0 and 500.0 mg/dL,http://loinc.org,1558-6,mg/dL,50.0,500.0
Fasting glucose [Mass/volume] in Serum or Plasma between 0.0 and 10.0 mmol/L,http://loinc.org,1558-6,mmol/L,0.0,10.0
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 u,http://loinc.org,1742-6,u,5.0,2000.0
Calcitriol [Mass/volume] in Serum or Plasma between 11.0 and 81.0 ng/mL,http://loinc.org,1649-3,ng/mL,11.0,81.0
Calcitriol [Mass/volume] in Serum or Plasma between 20.0 and 373.0 pmol/L,http://loinc.org,1649-3,pmol/L,20.0,373.0
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 mg/dL,http://loinc.org,1742-6,mg/dL,5.0,2000.0
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 ug/dL,http://loinc.org,1742-6,ug/dL,5.0,2000.0
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 mmol/L,http://loinc.org,1742-6,mmol/L,5.0,2000.0
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 g/dL,http://loinc.org,1742-6,g/dL,5.0,2000.0
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 %,http://loinc.org,1742-6,%,5.0,2000.0
Albumin [Mass/volume] in Serum or Plasma between 1000.0 and 18000.0 mg/dL,http://loinc.org,1751-7,mg/dL,1000.0,18000.0
Albumin [Mass/time] in 24 hour Urine between 1.0 and 1000.0 mg/(24.h),http://loinc.org,1755-8,mg/(24.h),1.0,1000.0
Albumin/Globulin [Mass Ratio] in Serum or Plasma between 0.0 and 10.0 {ratio},http://loinc.org,1759-0,{ratio},0.0,10.0
Aldosterone [Mass/volume] in Serum or Plasma between 0.001 and 500.0 ng/dL,http://loinc.org,1763-2,ng/dL,0.001,500.0
Alkaline phosphatase.bone [Mass/volume] in Serum or Plasma between 10.0 and 76.0 ng/mL,http://loinc.org,17838-4,ng/mL,10.0,76.0
Hemoglobin A1c/Hemoglobin.total in Blood by calculation between 0.0 and 100.0 %,http://loinc.org,17855-8,%,0.0,100.0
Hemoglobin A1c/Hemoglobin.total in Blood by HPLC between 0.01 and 20.0 %,http://loinc.org,17856-6,%,0.01,20.0
Calcium [Mass/volume] in Serum or Plasma between 7.0 and 13.0 mg/mL,http://loinc.org,17861-6,mg/mL,7.0,13.0
Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE) between 4.0 and 5800.0 mg/dL,http://loinc.org,17864-0,mg/dL,4.0,5800.0
Glucose [Mass/volume] in Serum or Plasma --8 hours fasting between 1.0 and 200.0 mg/dL,http://loinc.org,17865-7,mg/dL,1.0,200.0
Amylase [Enzymatic activity/volume] in Serum or Plasma between 6.0 and 107.0 [U]/L,http://loinc.org,1798-8,[U]/L,6.0,107.0
Osmolality of Serum or Plasma by calculation between 220.0 and 420.0 mmol/kg,http://loinc.org,18182-6,mmol/kg,220.0,420.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay between 418.0 and 2500.0 nmol/L,http://loinc.org,18262-6,nmol/L,418.0,2500.0
Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma between 0.0 and 100.0 ng/mL,http://loinc.org,1834-1,ng/mL,0.0,100.0
Albumin [Mass/volume] in Serum or Plasma between 1.0 and 18.0 mmol/L,http://loinc.org,1751-7,mmol/L,1.0,18.0
Albumin [Mass/time] in 24 hour Urine between 1.0 and 1000.0 ug/mL,http://loinc.org,1755-8,ug/mL,1.0,1000.0
Alkaline phosphatase.bone [Mass/volume] in Serum or Plasma between 10.0 and 76.0 ug/L,http://loinc.org,17838-4,ug/L,10.0,76.0
Calcium [Mass/volume] in Serum or Plasma between 7.0 and 13.0 pg/mL,http://loinc.org,17861-6,pg/mL,7.0,13.0
Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE) between 1.0 and 3.0 mmol/L,http://loinc.org,17864-0,mmol/L,1.0,3.0
Osmolality of Serum or Plasma by calculation between 220.0 and 420.0 mosm/kg,http://loinc.org,18182-6,mosm/kg,220.0,420.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay between 1.0 and 400.0 mg/dL,http://loinc.org,18262-6,mg/dL,1.0,400.0
Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma between 0.0 and 100.0 ug/L,http://loinc.org,1834-1,ug/L,0.0,100.0
Albumin [Mass/volume] in Urine between 0.0 and 1000.0 mg/L,http://loinc.org,1754-1,mg/L,0.0,1000.0
Albumin [Mass/time] in 24 hour Urine between 1.0 and 1000.0 mg/dL,http://loinc.org,1755-8,mg/dL,1.0,1000.0
Calcium [Mass/volume] in Serum or Plasma between 7.0 and 13.0 mg/dL,http://loinc.org,17861-6,mg/dL,7.0,13.0
Osmolality of Serum or Plasma by calculation between 220.0 and 420.0 mosm,http://loinc.org,18182-6,mosm,220.0,420.0
Albumin [Mass/volume] in Serum or Plasma between 1.0 and 18.0 g/L,http://loinc.org,1751-7,g/L,1.0,18.0
Albumin [Mass/volume] in Urine between 0.0 and 1000.0 g/dL,http://loinc.org,1754-1,g/dL,0.0,1000.0
Calcium [Mass/volume] in Serum or Plasma between 2.0 and 81.0 mmol/L,http://loinc.org,17861-6,mmol/L,2.0,81.0
Apolipoprotein B [Mass/volume] in Serum or Plasma between 24.0 and 280.0 mg/dL,http://loinc.org,1884-6,mg/dL,24.0,280.0
Magnesium [Mass/volume] in Serum or Plasma between 0.0 and 3.0 10*-3.eq/L,http://loinc.org,19123-9,10*-3.eq/L,0.0,3.0
Prostate specific Ag [Units/volume] in Serum or Plasma between 0.0 and 10.0 ng/mL,http://loinc.org,19195-7,ng/mL,0.0,10.0
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 [iU]/L,http://loinc.org,1920-8,[iU]/L,5.0,2000.0
Magnesium [Mass/volume] in Serum or Plasma between 0.0 and 3.0 mg/dL,http://loinc.org,19123-9,mg/dL,0.0,3.0
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 mg/dL,http://loinc.org,1920-8,mg/dL,5.0,2000.0
Magnesium [Mass/volume] in Serum or Plasma between 0.0 and 3.0 mmol/L,http://loinc.org,19123-9,mmol/L,0.0,3.0
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 [U]/L,http://loinc.org,1920-8,[U]/L,5.0,2000.0
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma between 5.0 and 2000.0 %,http://loinc.org,1920-8,%,5.0,2000.0
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma between 0.01 and 6.0 ug/mL,http://loinc.org,1952-1,ug/mL,0.01,6.0
Beta-2-Microglobulin [Mass/volume] in Urine between 0.0 and 548.0 mg/L,http://loinc.org,1953-9,mg/L,0.0,548.0
Bicarbonate [Moles/volume] in Blood between 17.0 and 55.0 10*-3.eq/L,http://loinc.org,1959-6,10*-3.eq/L,17.0,55.0
Bicarbonate [Moles/volume] in Plasma between 18.0 and 47.0 10*-3.eq/L,http://loinc.org,1962-0,10*-3.eq/L,18.0,47.0
Bicarbonate [Moles/volume] in Serum or Plasma between 18.0 and 47.0 10*-3.eq/L,http://loinc.org,1963-8,10*-3.eq/L,18.0,47.0
Bilirubin.direct [Mass/volume] in Serum or Plasma between 0.0 and 4.0 mg/dL,http://loinc.org,1968-7,mg/dL,0.0,4.0
Bilirubin.indirect [Mass/volume] in Serum or Plasma between 1.0 and 100.0 mg/dL,http://loinc.org,1971-1,mg/dL,1.0,100.0
Bilirubin.total [Mass/volume] in Serum or Plasma between 0.0 and 100.0 mg/dL,http://loinc.org,1975-2,mg/dL,0.0,100.0
C peptide [Mass/volume] in Serum or Plasma between 0.0 and 20.0 ng/mL,http://loinc.org,1986-9,ng/mL,0.0,20.0
C reactive protein [Mass/volume] in Serum or Plasma between 0.0 and 5.0 mg/dL,http://loinc.org,1988-5,mg/dL,0.0,5.0
Calcidiol [Mass/volume] in Serum or Plasma between 8.0 and 103.0 pg/mL,http://loinc.org,1989-3,pg/mL,8.0,103.0
Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma between 23.0 and 124.0 pg/mL,http://loinc.org,1990-1,pg/mL,23.0,124.0
FEV1/FVC between 0.0 and 90.0 [in_us],http://loinc.org,19926-5,[in_us],0.0,90.0
Calcium.ionized [Moles/volume] in Blood between 1.0 and 2.0 10*-3.eq/L,http://loinc.org,1994-3,10*-3.eq/L,1.0,2.0
Oxygen/Inspired gas setting [Volume Fraction] Ventilator between 0.0 and 100.0 %,http://loinc.org,19994-3,%,0.0,100.0
Calcium [Moles/volume] in Serum or Plasma between 8.0 and 10000.0 mg/dL,http://loinc.org,2000-8,mg/dL,8.0,10000.0
Carbon dioxide [Partial pressure] in Venous blood between 10.0 and 127.0 mm[Hg],http://loinc.org,2021-4,mm[Hg],10.0,127.0
"Carbon dioxide, total [Moles/volume] in Serum or Plasma between 20.0 and 100.0 10*-3.eq/L",http://loinc.org,2028-9,10*-3.eq/L,20.0,100.0
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma between 100.0 and 6000.0 ng/mL,http://loinc.org,1952-1,ng/mL,100.0,6000.0
Bicarbonate [Moles/volume] in Blood between 1.0 and 55.0 10*-3.eq/kg,http://loinc.org,1959-6,10*-3.eq/kg,1.0,55.0
Bicarbonate [Moles/volume] in Serum or Plasma between 18.0 and 47.0 mmol/L,http://loinc.org,1963-8,mmol/L,18.0,47.0
Bilirubin.direct [Mass/volume] in Serum or Plasma between 4.2 and 107.0 mmol/L,http://loinc.org,1968-7,mmol/L,4.2,107.0
Bilirubin.total [Mass/volume] in Serum or Plasma between 1.0 and 143.0 mmol/L,http://loinc.org,1975-2,mmol/L,1.0,143.0
C reactive protein [Mass/volume] in Serum or Plasma between 50.0 and 2300.0 pmol/L,http://loinc.org,1986-9,pmol/L,50.0,2300.0
Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma between 5.0 and 200.0 ng/mL,http://loinc.org,1990-1,ng/mL,5.0,200.0
FEV1/FVC between 1.0 and 120.0 %,http://loinc.org,19926-5,%,1.0,120.0
Calcium.ionized [Moles/volume] in Blood between 1.0 and 9.0 mg/dL,http://loinc.org,1994-3,mg/dL,1.0,9.0
Calcium [Moles/volume] in Serum or Plasma between 7.0 and 13.0 mmol/L,http://loinc.org,2000-8,mmol/L,7.0,13.0
FEV1 between 0.0 and 3.0 L/min,http://loinc.org,20150-9,L/min,0.0,3.0
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma between 0.01 and 60.0 mg/dL,http://loinc.org,1952-1,mg/dL,0.01,60.0
Bicarbonate [Moles/volume] in Blood between 18.0 and 47.0 mmol/L,http://loinc.org,1959-6,mmol/L,18.0,47.0
Bilirubin.direct [Mass/volume] in Serum or Plasma between 1.0 and 440.0 umol/L,http://loinc.org,1968-7,umol/L,1.0,440.0
FEV1/FVC between 0.0 and 100.0 {ratio},http://loinc.org,19926-5,{ratio},0.0,100.0
Calcium.ionized [Moles/volume] in Blood between 1.0 and 4.0 mmol/L,http://loinc.org,1994-3,mmol/L,1.0,4.0
Calcium [Moles/volume] in Serum or Plasma between 1.0 and 37.0 g/dL,http://loinc.org,2000-8,g/dL,1.0,37.0
FEV1 between 0.0 and 1000.0 mL,http://loinc.org,20150-9,mL,0.0,1000.0
"Carbon dioxide, total [Moles/volume] in Serum or Plasma between 12.0 and 100.0 mmol/L",http://loinc.org,2028-9,mmol/L,12.0,100.0
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma between 0.01 and 11.0 mg/L,http://loinc.org,1952-1,mg/L,0.01,11.0
Bilirubin.direct [Mass/volume] in Serum or Plasma between 1.0 and 35.0 g/dL,http://loinc.org,1968-7,g/dL,1.0,35.0
Bilirubin.total [Mass/volume] in Serum or Plasma between 1.0 and 37.0 g/dL,http://loinc.org,1975-2,g/dL,1.0,37.0
FEV1/FVC between 0.0 and 4.0 L,http://loinc.org,19926-5,L,0.0,4.0
FEV1 between 0.0 and 100.0 %,http://loinc.org,20150-9,%,0.0,100.0
"Carbon dioxide, total [Moles/volume] in Serum or Plasma between 232.0 and 1000.0 /uL",http://loinc.org,2028-9,/uL,232.0,1000.0
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma between 100.0 and 6000.0 ug/L,http://loinc.org,1952-1,ug/L,100.0,6000.0
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma between 0.0 and 1000.0 ng/mL,http://loinc.org,2039-6,ng/mL,0.0,1000.0
Insulin [Units/volume] in Serum or Plasma between 5.0 and 46.0 10*-3.[U]/L,http://loinc.org,20448-7,10*-3.[U]/L,5.0,46.0
Creatine kinase.MB/Creatine kinase.total in Serum or Plasma between 1.0 and 29.0 %,http://loinc.org,20569-0,%,1.0,29.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 0.5 L/L,http://loinc.org,20570-8,L/L,0.0,0.5
Ceruloplasmin [Mass/volume] in Serum or Plasma between 19.0 and 1000.0 mg/dL,http://loinc.org,2064-4,mg/dL,19.0,1000.0
Chloride [Moles/volume] in Serum or Plasma between 49.0 and 1000.0 10*-3.eq/L,http://loinc.org,2075-0,10*-3.eq/L,49.0,1000.0
Cholesterol in HDL [Mass/volume] in Serum or Plasma between 0.1 and 5.0 mmol/L,http://loinc.org,2085-9,mmol/L,0.1,5.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma between 864.0 and 2500.0 nmol/L,http://loinc.org,2089-1,nmol/L,864.0,2500.0
Cholesterol [Mass/volume] in Serum or Plasma between 1.0 and 15.0 mmol/L,http://loinc.org,2093-3,mmol/L,1.0,15.0
Cholesterol in HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma between 1.0 and 100.0 %,http://loinc.org,2095-8,%,1.0,100.0
Choriogonadotropin [Moles/volume] in Serum or Plasma between 1.0 and 9999999.0 mmol/L,http://loinc.org,2119-6,mmol/L,1.0,9999999.0
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma between 0.0 and 1000.0 ug/L,http://loinc.org,2039-6,ug/L,0.0,1000.0
Insulin [Units/volume] in Serum or Plasma between 0.0 and 100.0 [iU]/mL,http://loinc.org,20448-7,[iU]/mL,0.0,100.0
Ceruloplasmin [Mass/volume] in Serum or Plasma between 121.0 and 412.0 mg/L,http://loinc.org,2064-4,mg/L,121.0,412.0
Cholesterol in HDL [Mass/volume] in Serum or Plasma between 5.0 and 150.0 mg/dL,http://loinc.org,2085-9,mg/dL,5.0,150.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma between 0.1 and 11.0 mmol/L,http://loinc.org,2089-1,mmol/L,0.1,11.0
Cholesterol [Mass/volume] in Serum or Plasma between 90.0 and 400.0 mg/dL,http://loinc.org,2093-3,mg/dL,90.0,400.0
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma between 1.0 and 6.0 [U],http://loinc.org,2039-6,[U],1.0,6.0
Insulin [Units/volume] in Serum or Plasma between 0.0 and 50.0 10*-6.[U]/mL,http://loinc.org,20448-7,10*-6.[U]/mL,0.0,50.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 m,http://loinc.org,20570-8,m,0.0,50.0
Chloride [Moles/volume] in Serum or Plasma between 95.0 and 103.0 ng/mL,http://loinc.org,2075-0,ng/mL,95.0,103.0
Cholesterol in HDL [Mass/volume] in Serum or Plasma between 24.0 and 43.0 umol/L,http://loinc.org,2085-9,umol/L,24.0,43.0
Cholesterol in LDL [Mass/volume] in Serum or Plasma between 20.0 and 300.0 mg/dL,http://loinc.org,2089-1,mg/dL,20.0,300.0
Cholesterol [Mass/volume] in Serum or Plasma between 2.6 and 36.0 g/dL,http://loinc.org,2093-3,g/dL,2.6,36.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 90000.0 kg,http://loinc.org,20570-8,kg,0.0,90000.0
Ceruloplasmin [Mass/volume] in Serum or Plasma between 1.0 and 2.0 g/L,http://loinc.org,2064-4,g/L,1.0,2.0
Chloride [Moles/volume] in Serum or Plasma between 0.0 and 180.0 mg/dL,http://loinc.org,2075-0,mg/dL,0.0,180.0
Cholesterol in HDL [Mass/volume] in Serum or Plasma between 0.01 and 5.0 g/dL,http://loinc.org,2085-9,g/dL,0.01,5.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 100.0 %{vol},http://loinc.org,20570-8,%{vol},0.0,100.0
Chloride [Moles/volume] in Serum or Plasma between 49.0 and 212.0 mmol/L,http://loinc.org,2075-0,mmol/L,49.0,212.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 250.0 10*3/mm3,http://loinc.org,20570-8,10*3/mm3,0.0,250.0
Chloride [Moles/volume] in Serum or Plasma between 2.0 and 37.0 g/dL,http://loinc.org,2075-0,g/dL,2.0,37.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 mg/dL,http://loinc.org,20570-8,mg/dL,0.0,50.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 40.0 [lb_us],http://loinc.org,20570-8,[lb_us],0.0,40.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 40.0 g/dL,http://loinc.org,20570-8,g/dL,0.0,40.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 20.0 mm,http://loinc.org,20570-8,mm,0.0,20.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 mL,http://loinc.org,20570-8,mL,0.0,50.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 fL,http://loinc.org,20570-8,fL,0.0,50.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 5.0 cm,http://loinc.org,20570-8,cm,0.0,5.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 40.0 mg,http://loinc.org,20570-8,mg,0.0,40.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 0.5 {ratio},http://loinc.org,20570-8,{ratio},0.0,0.5
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 [U],http://loinc.org,20570-8,[U],0.0,50.0
Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma between 278.0 and 1200.0 pg/mL,http://loinc.org,2132-9,pg/mL,278.0,1200.0
Cortisol [Mass/volume] in Serum or Plasma between 0.001 and 1000.0 ug/dL,http://loinc.org,2143-6,ug/dL,0.001,1000.0
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma between 47.0 and 1000.0 [iU]/L,http://loinc.org,2157-6,[iU]/L,47.0,1000.0
Creatinine [Mass/volume] in Urine between 17.0 and 500.0 mg/dL,http://loinc.org,2161-8,mg/dL,17.0,500.0
Creatinine renal clearance in 24 hour between 1.0 and 4.0 mL/s,http://loinc.org,2164-2,mL/s,1.0,4.0
Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma between 5.0 and 346.0 nmol/L,http://loinc.org,2132-9,nmol/L,5.0,346.0
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma between 1.0 and 455.0 ng/mL,http://loinc.org,2157-6,ng/mL,1.0,455.0
Creatinine [Mass/volume] in Serum or Plasma between 44.0 and 294.0 mL/min/1.73.m2,http://loinc.org,2160-0,mL/min/1.73.m2,44.0,294.0
Creatinine [Mass/volume] in Urine between 6.0 and 268.0 mL/min/1.73.m2,http://loinc.org,2161-8,mL/min/1.73.m2,6.0,268.0
Creatinine [Mass/time] in 24 hour Urine between 1.0 and 1000.0 g/(24.h),http://loinc.org,2162-6,g/(24.h),1.0,1000.0
