expectation_name,system,system_oid,code,ucum_code,low,high
Hematocrit [Volume Fraction] of Blood between 0.0 and 100.0 %{vol},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,%{vol},0.0,100.0
Chloride [Moles/volume] in Serum or Plasma between 49.0 and 212.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2075-0,mmol/L,49.0,212.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 250.0 10*3/mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,10*3/mm3,0.0,250.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 40.0 [lb_us],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,[lb_us],0.0,40.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 40.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,g/dL,0.0,40.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,mL,0.0,50.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 fL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,fL,0.0,50.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 5.0 cm,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,cm,0.0,5.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 40.0 mg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,mg,0.0,40.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 0.5 {ratio},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,{ratio},0.0,0.5
Hematocrit [Volume Fraction] of Blood between 0.0 and 70.0 F,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,F,0.0,70.0
Hematocrit [Volume Fraction] of Blood between 0.0 and 50.0 [U],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,20570-8,[U],0.0,50.0
Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma between 278.0 and 1200.0 pg/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2132-9,pg/mL,278.0,1200.0
Cortisol [Mass/volume] in Serum or Plasma between 0.001 and 1000.0 ug/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2143-6,ug/dL,0.001,1000.0
Creatine kinase.MM [Enzymatic activity/volume] in Serum or Plasma by Electrophoresis between 9.0 and 389.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2155-0,%,9.0,389.0
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma between 47.0 and 1000.0 [iU]/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2157-6,[iU]/L,47.0,1000.0
Creatinine [Mass/volume] in Serum or Plasma between 0.1 and 5.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2160-0,mg/dL,0.1,5.0
Creatinine [Mass/volume] in Urine between 17.0 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2161-8,mg/dL,17.0,500.0
Creatinine [Mass/time] in 24 hour Urine between 100.0 and 4000.0 mg/(24.h),http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2162-6,mg/(24.h),100.0,4000.0
Cortisol [Mass/volume] in Serum or Plasma between 8.0 and 1000.0 nmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2143-6,nmol/L,8.0,1000.0
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma between 1.0 and 455.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2157-6,ng/mL,1.0,455.0
Creatinine [Mass/volume] in Serum or Plasma between 44.0 and 294.0 mL/min/1.73.m2,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2160-0,mL/min/1.73.m2,44.0,294.0
Creatinine [Mass/volume] in Urine between 6.0 and 268.0 mL/min/1.73.m2,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2161-8,mL/min/1.73.m2,6.0,268.0
Creatinine [Mass/time] in 24 hour Urine between 1.0 and 1000.0 g/(24.h),http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2162-6,g/(24.h),1.0,1000.0
Creatinine renal clearance in 24 hour between 20.0 and 206.0 mL/min/1.73.m2,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2164-2,mL/min/1.73.m2,20.0,206.0
Creatinine [Mass/volume] in Serum or Plasma between 3.5 and 142.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2160-0,mmol/L,3.5,142.0
Creatinine renal clearance in 24 hour between 26.0 and 194.0 mL/min,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2164-2,mL/min,26.0,194.0
Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma between 302.0 and 1000.0 ng/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2132-9,ng/L,302.0,1000.0
Creatinine [Mass/volume] in Serum or Plasma between 10.0 and 200.0 umol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2160-0,umol/L,10.0,200.0
Creatinine [Mass/volume] in Urine between 2.0 and 706.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2161-8,ng/mL,2.0,706.0
Creatinine [Mass/volume] in Serum or Plasma between 2.5 and 36.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2160-0,g/dL,2.5,36.0
Creatinine [Mass/volume] in Urine between 2.0 and 22.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2161-8,mmol/L,2.0,22.0
Creatinine [Mass/volume] in Urine between 1.0 and 8.0 mg/g,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2161-8,mg/g,1.0,8.0
Creatinine [Mass/volume] in Urine between 0.01 and 40.0 g/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2161-8,g/L,0.01,40.0
Estradiol (E2) [Mass/volume] in Serum or Plasma between 0.0 and 40000.0 pg/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2243-4,pg/mL,0.0,40000.0
Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma between 0.01 and 10.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2250-9,ng/mL,0.01,10.0
Cholesterol in LDL [Moles/volume] in Serum or Plasma between 19.0 and 2500.0 nmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,22748-8,nmol/L,19.0,2500.0
Folate [Mass/volume] in Blood between 2.0 and 600.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2282-2,ng/mL,2.0,600.0
Estradiol (E2) [Mass/volume] in Serum or Plasma between 0.0 and 20.0 ng/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2243-4,ng/dL,0.0,20.0
Ferritin [Mass/volume] in Serum or Plasma between 0.0 and 500.0 ug/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2276-4,ug/L,0.0,500.0
Folate [Mass/volume] in Blood between 2.0 and 50.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2282-2,%,2.0,50.0
Estradiol (E2) [Mass/volume] in Serum or Plasma between 0.0 and 800.0 pmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2243-4,pmol/L,0.0,800.0
Ferritin [Mass/volume] in Serum or Plasma between 0.0 and 400.0 [U],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2276-4,[U],0.0,400.0
Estradiol (E2) [Mass/volume] in Serum or Plasma between 0.0 and 500.0 ng/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2243-4,ng/L,0.0,500.0
Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma between 0.01 and 90.0 [iU]/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2324-2,[iU]/L,0.01,90.0
Glucose [Mass/volume] in Blood between 1.0 and 300.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2339-0,mg/dL,1.0,300.0
Glucose [Mass/volume] in Blood by Automated test strip between 1.0 and 300.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2340-8,mg/dL,1.0,300.0
Glucose [Mass/volume] in Cerebral spinal fluid between 1.0 and 100.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2342-4,mg/dL,1.0,100.0
Glucose [Mass/volume] in Urine between 0.0 and 800.0 mosm/kg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2350-7,mosm/kg,0.0,800.0
Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma between 10.0 and 70.0 ug/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2324-2,ug/mL,10.0,70.0
Glucose [Mass/volume] in Urine between 0.01 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2350-7,mg/dL,0.01,500.0
Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma between 0.01 and 80.0 [U]/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2324-2,[U]/L,0.01,80.0
Cancer Ag 19-9 [Units/volume] in Serum or Plasma between 1.0 and 1000.0 [iU]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,24108-3,[iU]/mL,1.0,1000.0
Iron [Mass/volume] in Serum or Plasma between 0.01 and 150.0 ug/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2498-4,ug/dL,0.01,150.0
Iron binding capacity [Mass/volume] in Serum or Plasma between 0.01 and 500.0 ug/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2500-7,ug/dL,0.01,500.0
Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma between 0.01 and 500.0 ug/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2501-5,ug/dL,0.01,500.0
Iron saturation [Mass Fraction] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2502-3,%,0.0,100.0
Cancer Ag 19-9 [Units/volume] in Serum or Plasma between 1.0 and 1000.0 [arb'U]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,24108-3,[arb'U]/mL,1.0,1000.0
Iron [Mass/volume] in Serum or Plasma between 0.0 and 1000.0 umol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2498-4,umol/L,0.0,1000.0
Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2501-5,%,0.0,100.0
Cancer Ag 19-9 [Units/volume] in Serum or Plasma between 1.0 and 1000.0 10*3.[U]/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,24108-3,10*3.[U]/L,1.0,1000.0
Iron [Mass/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2498-4,%,0.0,100.0
Iron binding capacity [Mass/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2500-7,%,0.0,100.0
Cancer Ag 19-9 [Units/volume] in Serum or Plasma between 1.0 and 1000.0 [U]/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,24108-3,[U]/mL,1.0,1000.0
Lipids [Mass/volume] in Serum between 20.0 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2569-2,mg/dL,20.0,500.0
Triglyceride [Mass/volume] in Serum or Plasma between 40.0 and 1000.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2571-8,mg/dL,40.0,1000.0
Triglyceride [Mass/volume] in Serum or Plasma between 1.0 and 10.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2571-8,mmol/L,1.0,10.0
Triglyceride [Mass/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2571-8,%,0.0,100.0
Basophils [#/volume] in Blood between 0.01 and 1.0 10*3/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26444-0,10*3/L,0.01,1.0
Eosinophils [#/volume] in Blood between 0.0 and 1.0 10*3/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26449-9,10*3/L,0.0,1.0
Leukocytes [#/volume] in Blood between 0.0 and 100.0 {cells},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,{cells},0.0,100.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 2300.0 uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,uL,0.0,2300.0
Monocytes/100 leukocytes in Blood between 0.0 and 100.0 %{vol},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26485-3,%{vol},0.0,100.0
Neutrophils [#/volume] in Blood between 0.01 and 50.0 10*3/mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26499-4,10*3/mm3,0.01,50.0
Platelets [#/volume] in Blood between 100.0 and 1000.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26515-7,10*3/uL,100.0,1000.0
Promyelocytes [#/volume] in Blood between 1.0 and 1000.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26523-1,10*3/uL,1.0,1000.0
Osmolality of Serum or Plasma between 220.0 and 420.0 mosm/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2692-2,mosm/L,220.0,420.0
Magnesium [Moles/volume] in Serum or Plasma between 0.0 and 1000.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2601-3,mg/dL,0.0,1000.0
Basophils [#/volume] in Blood between 0.01 and 1.0 10*3/mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26444-0,10*3/mm3,0.01,1.0
Eosinophils [#/volume] in Blood between 0.0 and 1.0 10*3/mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26449-9,10*3/mm3,0.0,1.0
Eosinophils/100 leukocytes in Blood between 0.0 and 100.0 %{vol},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26450-7,%{vol},0.0,100.0
Leukocytes [#/volume] in Blood between 0.0 and 12.0 uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,uL,0.0,12.0
Lymphocytes [#/volume] in Blood between 0.0 and 3000.0 /uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26474-7,/uL,0.0,3000.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 35.0 %{vol},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,%{vol},0.0,35.0
Monocytes/100 leukocytes in Blood between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26485-3,%,0.0,100.0
Neutrophils [#/volume] in Blood between 0.01 and 50.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26499-4,10*3/uL,0.01,50.0
Magnesium [Moles/volume] in Serum or Plasma between 0.0 and 3.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2601-3,mmol/L,0.0,3.0
Basophils [#/volume] in Blood between 0.01 and 1.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26444-0,10*3/uL,0.01,1.0
Eosinophils [#/volume] in Blood between 0.001 and 1.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26449-9,10*3/uL,0.001,1.0
Leukocytes [#/volume] in Blood between 0.01 and 150.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,10*3/uL,0.01,150.0
Lymphocytes [#/volume] in Blood between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26474-7,%,0.0,100.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 500.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,mg/dL,0.0,500.0
Neutrophils [#/volume] in Blood between 1.0 and 50000.0 /mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26499-4,/mm3,1.0,50000.0
Osmolality of Serum or Plasma between 220.0 and 420.0 mosm/kg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2692-2,mosm/kg,220.0,420.0
Basophils [#/volume] in Blood between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26444-0,%,0.0,100.0
Eosinophils [#/volume] in Blood between 0.0 and 300.0 /mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26449-9,/mm3,0.0,300.0
Eosinophils/100 leukocytes in Blood between 0.0 and 400.0 /uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26450-7,/uL,0.0,400.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 3.0 mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,mm3,0.0,3.0
Neutrophils [#/volume] in Blood between 1.0 and 50000.0 mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26499-4,mm3,1.0,50000.0
Osmolality of Serum or Plasma between 220.0 and 420.0 mosm,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2692-2,mosm,220.0,420.0
Eosinophils [#/volume] in Blood between 0.0 and 12.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26449-9,%,0.0,12.0
Eosinophils/100 leukocytes in Blood between 0.0 and 6.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26450-7,%,0.0,6.0
Erythrocytes [#/volume] in Blood between 0.0 and 100.0 {cells},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,{cells},0.0,100.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 3100.0 /uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,/uL,0.0,3100.0
Leukocytes [#/volume] in Blood between 0.0 and 1.0 mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,mL,0.0,1.0
Erythrocytes [#/volume] in Blood between 0.0 and 550.0 {cells}/mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,{cells}/mm3,0.0,550.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,%,0.0,100.0
Erythrocytes [#/volume] in Blood between 0.0 and 100.0 10*6/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,10*6/uL,0.0,100.0
Leukocytes [#/volume] in Blood between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,%,0.0,100.0
Lymphocytes/100 leukocytes in Blood between 0.0 and 1200.0 L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26478-8,L,0.0,1200.0
Erythrocytes [#/volume] in Blood between 0.0 and 200.0 /[HPF],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,/[HPF],0.0,200.0
Leukocytes [#/volume] in Blood between 0.0 and 10.0 L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,L,0.0,10.0
Leukocytes [#/volume] in Blood between 0.0 and 14.0 pH,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26464-8,pH,0.0,14.0
Erythrocytes [#/volume] in Blood between 0.0 and 20000.0 mm3,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,mm3,0.0,20000.0
Erythrocytes [#/volume] in Blood between 0.0 and 45.0 /uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,/uL,0.0,45.0
Erythrocytes [#/volume] in Blood between 0.0 and 5.0 mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,mL,0.0,5.0
Erythrocytes [#/volume] in Blood between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,26453-1,%,0.0,100.0
Osmolality of Urine between 100.0 and 1000.0 mosm/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2695-5,mosm/L,100.0,1000.0
Oxygen [Partial pressure] in Arterial blood between 30.0 and 150.0 mm[Hg],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2703-7,mm[Hg],30.0,150.0
Oxygen [Partial pressure] in Venous blood between 20.0 and 100.0 mm[Hg],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2705-2,mm[Hg],20.0,100.0
pH of Venous blood between 7.0 and 9.0 pH,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2746-6,pH,7.0,9.0
pH of Urine between 5.0 and 11.0 pH,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2756-5,pH,5.0,11.0
Osmolality of Urine between 100.0 and 1000.0 mosm,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2695-5,mosm,100.0,1000.0
Potassium [Moles/volume] in Serum or Plasma between 3.0 and 8.0 mmol,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2823-3,mmol,3.0,8.0
MCH [Entitic mass] between 0.0 and 100.0 pg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,28539-5,pg,0.0,100.0
MCHC [Mass/volume] between 0.0 and 100.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,28540-3,g/dL,0.0,100.0
Prostate specific Ag [Mass/volume] in Serum or Plasma between 0.0 and 20.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2857-1,ng/mL,0.0,20.0
Albumin [Mass/volume] in Serum or Plasma by Electrophoresis between 2.0 and 1000.0 mg/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2862-1,mg/L,2.0,1000.0
Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis between 0.01 and 2.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2874-6,g/dL,0.01,2.0
Potassium [Moles/volume] in Serum or Plasma between 3.0 and 8.0 10*-3.eq/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2823-3,10*-3.eq/L,3.0,8.0
MCHC [Mass/volume] between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,28540-3,%,0.0,100.0
Albumin [Mass/volume] in Serum or Plasma by Electrophoresis between 2.0 and 1000.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2862-1,g/dL,2.0,1000.0
Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis between 0.01 and 20.0 g/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2874-6,g/L,0.01,20.0
Potassium [Moles/volume] in Serum or Plasma between 3.0 and 8.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2823-3,mmol/L,3.0,8.0
Prostate specific Ag [Mass/volume] in Serum or Plasma between 0.0 and 6.0 ug/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2857-1,ug/L,0.0,6.0
Albumin [Mass/volume] in Serum or Plasma by Electrophoresis between 2.0 and 1000.0 g/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2862-1,g/L,2.0,1000.0
Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2874-6,%,0.0,100.0
Albumin [Mass/volume] in Serum or Plasma by Electrophoresis between 10.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2862-1,%,10.0,100.0
Protein [Mass/volume] in Serum or Plasma between 6.0 and 15.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2885-2,g/dL,6.0,15.0
Protein [Mass/volume] in Urine between 1.0 and 10000.0 mg/(24.h),http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2888-6,mg/(24.h),1.0,10000.0
Body weight between 2.0 and 500.0 kg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,29463-7,kg,2.0,500.0
Sex hormone binding globulin [Mass/volume] in Serum or Plasma between 0.01 and 200.0 nmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2942-1,nmol/L,0.01,200.0
Sodium [Moles/volume] in Serum or Plasma between 100.0 and 150.0 10*-3.eq/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2951-2,10*-3.eq/L,100.0,150.0
Specific gravity of Urine between 1.0 and 21.0 u,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2965-2,u,1.0,21.0
Protein [Mass/volume] in Urine between 0.0 and 1000.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2888-6,mg/dL,0.0,1000.0
Sodium [Moles/volume] in Serum or Plasma between 100.0 and 150.0 mmol/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2951-2,mmol/L,100.0,150.0
Protein [Mass/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2885-2,%,0.0,100.0
Protein [Mass/volume] in Urine between 0.0 and 1000.0 mg/L,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2888-6,mg/L,0.0,1000.0
Body weight between 4.0 and 1000.0 [lb_us],http://loinc.org,urn:oid:2.16.840.1.113883.6.1,29463-7,[lb_us],4.0,1000.0
Sodium [Moles/volume] in Serum or Plasma between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2951-2,%,0.0,100.0
Protein [Mass/volume] in Urine between 0.0 and 1000.0 g/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2888-6,g/dL,0.0,1000.0
Body weight between 1.0 and 1000.0 mg,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,29463-7,mg,1.0,1000.0
Protein [Mass/volume] in Urine between 0.0 and 100.0 %,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2888-6,%,0.0,100.0
Body weight between 198.0 and 680388.6 g,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,29463-7,g,198.0,680388.6
Testosterone [Mass/volume] in Serum or Plasma between 5.0 and 1000.0 ng/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2986-8,ng/dL,5.0,1000.0
Testosterone Free [Mass/volume] in Serum or Plasma between 0.001 and 1000.0 pg/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,2991-8,pg/mL,0.001,1000.0
Microalbumin/Creatinine [Ratio] in Urine between 0.001 and 100.0 mg/mmol{creat},http://loinc.org,urn:oid:2.16.840.1.113883.6.1,30000-4,mg/mmol{creat},0.001,100.0
Thyroglobulin [Mass/volume] in Serum or Plasma between 0.0 and 6000.0 ng/mL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,3013-0,ng/mL,0.0,6000.0
Thyroxine (T4) free [Mass/volume] in Serum or Plasma between 0.1 and 100.0 ng/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,3024-7,ng/dL,0.1,100.0
Thyroxine (T4) [Mass/volume] in Serum or Plasma between 0.1 and 10.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,3026-2,mg/dL,0.1,10.0
Erythrocyte sedimentation rate between 0.0 and 100.0 mm/h,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,30341-2,mm/h,0.0,100.0
Transferrin [Mass/volume] in Serum or Plasma between 100.0 and 1000.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,3034-6,mg/dL,100.0,1000.0
Blasts [#/volume] in Blood between 1.0 and 326.0 10*3/uL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,30376-8,10*3/uL,1.0,326.0
MCV [Entitic volume] between 70.0 and 120.0 fL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,30428-7,fL,70.0,120.0
Triglyceride [Mass/volume] in Blood between 40.0 and 1000.0 mg/dL,http://loinc.org,urn:oid:2.16.840.1.113883.6.1,3043-7,mg/dL,40.0,1000.0
